source_id,language,reference,url,n_M,n_F,style,notes
deterding1997,English (SSBE),"Deterding, D. (1997). The formants of monophthong vowels in Standard Southern British English pronunciation. Journal of the International Phonetic Association 27, 47-55. Table 2.",https://doi.org/10.1017/S0025100300005417,5,5,"Read speech (BBC broadcasts, MARSEC corpus)",Connected speech; about 10 tokens per vowel per speaker
gendrot2005,French,"Gendrot, C. & Adda-Decker, M. (2005). Impact of duration on F1/F2 formant values of oral vowels: an automatic analysis of large broadcast news corpora in French and German. Interspeech 2005, 2453-2456. Table 5.",https://www.isca-archive.org/interspeech_2005/gendrot05_interspeech.pdf,,,Broadcast news (automatic alignment and measurement),"Number of speakers not reported; all durations pooled, so values are more centralised than citation forms (e.g. /u/ F2 above /o/). Oral vowels only."
sendlmeier2006,German,"Sendlmeier, W. F. & Seebode, J. (2006). Formantkarten des deutschen Vokalsystems. TU Berlin, Institut für Sprache und Kommunikation. Table 1.",https://www.static.tu.berlin/fileadmin/www/10002019/Forschung/Formantkarten_des_deutschen_Vokalsystems_01.pdf,69,58,Isolated disyllabic words (careful speech),Speakers aged 20-30; Standard German without dialectal features
chladkova2011,Spanish (Madrid),"Chládková, K., Escudero, P. & Boersma, P. (2011). Context-specific acoustic differences between Peruvian and Iberian Spanish vowels. Journal of the Acoustical Society of America 130, 416-428. Table I (Iberian Spanish).",https://doi.org/10.1121/1.3592242,10,10,Nonce words in isolation and in sentences,Geometric means over speakers
escudero2009,Portuguese (European),"Escudero, P., Boersma, P., Rauber, A. S. & Bion, R. A. H. (2009). A cross-dialect acoustic description of vowels: Brazilian and European Portuguese. Journal of the Acoustical Society of America 126, 1379-1393. Table I (EP).",https://doi.org/10.1121/1.3180321,10,10,Nonce words in isolation and in a carrier sentence,Stressed oral vowels only (no /ɐ ɨ/); geometric means over speakers
escudero2009bp,Portuguese (Brazilian),"Escudero, P., Boersma, P., Rauber, A. S. & Bion, R. A. H. (2009). A cross-dialect acoustic description of vowels: Brazilian and European Portuguese. Journal of the Acoustical Society of America 126, 1379-1393. Table I (BP).",https://doi.org/10.1121/1.3180321,10,10,Nonce words in isolation and in a carrier sentence,Stressed oral vowels only; geometric means over speakers
yazawa2019,Japanese (Tokyo),"Yazawa, K. & Kondo, M. (2019). Acoustic characteristics of Japanese short and long vowels: formant displacement effect revisited. ICPhS 2019, 671-675. Means computed from the open dataset (Zenodo 15227304): short vowels, formants at vowel midpoint, averaged per speaker then per sex.",https://zenodo.org/records/15227304,8,8,Nonce words in isolation and in a carrier sentence,Short vowels only; /u/ transcribed [ɯ]; contexts include coronals (raises F2 of /ɯ/)
